4877,179206
1152,855018
3605,485297
289,4955707
60,04744567
18,41304749
1387,187088
2032,863617
598,6619737
5313,043445
316,8327168
2525,26862
4197,445547
2480,55911
0
611,6732397
1282,771444
1527,901663
5356,109726
781,1803166
746,1641092
3286,433907
6592,16015
8141,302476
3736,372649
5531,438263
4186,632356
1100,142217
2103,731597
2013,842425
793,6259637
724,0452991
8164,055383
991,5232609
837,069341
1898,28589
22452,66497
15991,01057
1608,766055
7500,882274
225,6578515
1025,833631
1261,044828
236,2102411
7538,967617
6787,874505
9695,29724
11145,93487
14661,425
7400,53043
6548,344303
7702,648717
2904,235256
801,2915562
128,2822989
0
497,2070343
4,713474377
3,324089298
0
0
0
167,7407857
2349,821437
1501,992611
416,9125082
974,0032336
0
36,51460762
126,4662092
413,6481283
1465,111265
557,5137861
160,8202944
151,4521638
544,7509442
2899,018367
2584,593748
611,716762
1780,926583
1097,44839
282,5833819
587,506775
221,3064188
251,9313934
201,0011472
3559,228543
759,8724964
401,4752695
900,6537589
7555,965776
4480,543224
818,4186437
3422,128136
8,860123654
707,184253
630,9937036
84,22088202
3350,807604
1951,35616
2581,647894
2785,786058
3815,919365
2878,330584
2387,963035
3741,96686
732,592309
393,5136247
9,838285998
0
11,68416249
0
0
0
0
0
562,2590602
5637,314951
1955,792979
1608,880098
4411,902194
372,6552027
48,48720104
401,6748897
1345,602111
987,8594239
3552,871419
1246,024514
452,322358
4668,477001
6522,972814
10665,83559
3808,820422
2966,167424
3933,559754
1998,103865
2377,435172
2662,216258
1200,112677
807,3057046
3038,245197
1881,224988
1197,970673
2861,168334
25482,12541
39313,8624
3961,219395
11144,3797
21,47781132
5526,99859
2736,533558
768,5624947
11237,69839
19598,2345
30089,70989
30953,2777
27177,10256
26976,38965
13124,34348
10258,56262
10931,71414
1881,729456
922,8241626
4,899046699
743,8803397
33,80903081
280,6541466
0
718,8644911
295,0809638
173,9034596
345,4494856
0
88,40066284
54,71171367
0
0
12,04017373
32,7608494
124,9708363
346,4846991
22,92248279
124,1299726
203,2599092
11542,51142
1298,81524
576,4407937
1083,821957
874,0128869
48,96650748
382,6559818
585,4904743
139,8069773
96,31677822
1253,947785
323,3208569
105,4323509
252,6973191
7626,867732
2380,901304
264,9492515
2297,889561
45,74007603
665,3583374
817,1983638
55,0496867
3001,494402
1193,566415
1138,202848
2042,497914
2921,422138
2916,858104
2093,844249
3295,698291
309,9073449
219,368008
2209,235615
40,31438231
1079,608213
34,09502343
24,04487506
360,8462692
3042,176338
15,2406385
386,6056667
99,11223831
53,25891113
591,7411627
537,8274518
0
351,6463005
55,92610141
25,32426028
67,55492596
262,441596
63,47706893
222,0337055
157,1744311
0
364,7118001
54,14701998
981,1487763
1838,343118
63,43535501
327,8969399
462,2458793
240,7691508
1084,433907
2687,166353
226,1779748
83,74389135
181,7173056
5774,126836
2495,370129
250,6173408
3197,085443
7,374861856
0
199,6920446
45,34052818
1518,485154
758,8833343
704,4762196
1327,973253
1401,35938
1949,499292
1322,503456
1428,457342
346,4804113
42,73714728
809,9574969
651,1754385
411,2310841
91,33853684
30,19443188
0
0
172,6671031
49,06667066
753,8698448
46,94740348
440,3341544
373,7061524
1680,989102
0
273,1712432
106,039343
143,8525432
158,1026089
43,81826011
44,53842308
91,18056828
0
379,3675807
166,7793164
522,0677864
439,3413458
82,6470907
228,9783073
157,2264935
80,59499649
35,94604552
1112,498767
158,225322
94,42811299
249,9794412
2053,05371
1060,902591
267,2610293
917,5498425
0
12,27065322
396,2894011
35,80430647
1460,71826
789,3425431
681,1772912
945,6975803
1402,234689
1353,756149
827,6912574
1257,675714
465,3567465
35,3051531
192,2804442
24,7374805
551,3972543
45,93945318
24,38554378
0
0
0
28,52550552
41,56739516
0
97,46113826
51,82467053
7,327510208
16,93505792
0,754631409
4,799980157
18,16550644
7,893090394
1,598221527
0,414309879
4,343981511
0
10,09169532
1,160561468
8,676208231
23,90916656
1,087714578
6,460133334
5,311932145
8,110210211
3,1877748
31,45493826
5,602670155
5,823517943
9,64973018
1274,247426
312,0495787
29,51789531
136,640532
15,16632282
38,38244092
6,750649442
20,50865568
634,8302775
129,3701967
147,5068613
269,0504907
146,6602126
999,7549837
296,6009849
377,3394698
79,42874367
10,3599642
818,1950742
983,163264
595,7194221
237,7539503
34,3589158
1,697475281
69,1751471
461,3628208
90,25293421
338,8896511
6,191393912
153,2876029
369,6466583
311,8122515
1179,787517
185,0016866
73,87412131
68,42235522
258,1753689
55,22568511
24,12941252
476,8595816
0
647,082249
259,0734345
1850,696992
442,2927564
16,30691402
250,6976557
60,99326114
65,36979187
90,39623572
715,0775304
96,16905579
52,15297953
115,2252379
3376,545714
643,9922825
137,3399223
451,3544093
10,33864918
10,06335388
134,2195743
46,12592629
2099,528728
350,2381004
455,033166
741,5367232
1643,470536
1716,621275
1359,589667
1620,725153
251,0253664
33,7371439
925,9355521
152,4625514
1022,649102
22,87317714
5,040899589
6686,120959
560,1312543
0
32,41447389
312,3366677
339,6439338
290,4762092
272,2755187
65,15254897
0
14,60562976
35,3363915
154,8704165
36,45131854
10,21100351
0,373257398
8,688085343
40,14416183
20,00568826
13,69481814
166,98493
97,76928442
7,432820933
25,26665499
1,663355706
17,51455026
13,6461053
551,45618
137,1681581
25,45142193
58,90930858
2261,738891
1054,353487
68,4145257
834,7479039
11,71714956
196,1685431
185,1465341
21,66494516
1074,235799
492,5315845
450,6622843
820,5998037
886,0950093
1460,221041
1146,49408
1387,455156
122,6483104
68,7296827
1321,904347
0
1115,936155
57,5026737
62,48683532
0,301760868
0
298,6436063
9,49099475
723,8541226
0
654,2642651
870,5110126
0
97,46126093
68,96990333
159,2654827
230,0971503
39,87437117
11,95521074
22,29165819
80,23791438
295,0494421
340,8681181
113,270284
415,2816087
153,7693291
33,59463743
39,3092049
81,54207407
24,14795791
12,63603102
1055,651333
192,5881134
33,59657813
69,25670134
3289,872696
1150,245968
62,67062068
634,6089808
90,86500936
86,38860412
162,2492057
30,03283064
1606,094334
835,1391408
593,811189
525,3425348
1517,081141
1997,363317
1708,015747
2342,168184
250,9506193
91,45955218
5443,313956
352,9090363
4489,177493
81,93513512
62,06345371
437,2298211
30,5799122
0
291,8336204
2727,277001
54,9982376
960,1983798
1470,258076
88,02433905
10,79862834
8,135507607
811,8901674
6049,002666
4623,549069
113,6181252
642,2100554
669,7623802
0
829,7876831
161,4048633
2463,329045
1610,534888
326,9463753
503,2132818
1205,984774
930,4389894
1215,878367
5599,523933
353,4353298
224,5021491
521,7750222
9865,278425
4800,865506
1060,912387
2479,416968
48,22483849
0
1310,510274
108,336481
3182,946092
2423,031005
1023,465456
2246,952112
4100,434464
4235,231649
2100,061264
2725,194191
769,5415551
98,38130711
285,86863
1,469681896
158,8321891
380,3432859
27,94062089
0
0
1384,164257
8,729041264
26,13924065
1,699704784
0,237941113
23,1591321
0
0
0,070399149
0,156484882
5,669235797
3,213939775
0,54216864
2,711044704
0,234576179
0
0,671101108
0,134350172
5,671015078
11,03001348
0,107929021
2,922794333
15,59941215
4,65167427
1,593751113
78,64120228
0
1,173183566
3,05485336
468,5750032
132,3929397
2,812675293
25,31682816
12,13930413
50,21826087
20,26237366
13,26071599
666,0149101
78,17289543
107,6288777
74,30909892
4,952393066
788,3327235
579,2788565
467,0876089
40,62477648
10,83036512
1115,505306
1431,869221
544,1479516
39,90431764
194,8276435
0
1785,476909
5,904567114
100,3714393
417,510062
9,921778363
81,94784271
405,7277989
101,4674981
2,09794465
10,6213412
8,99404445
76,72651931
47,21687263
9,63152182
14,96053741
29,61116722
185,9770463
59,17550763
10,33364586
110,6415438
90,10203614
3,933001723
42,04585363
10,98587685
30,07954058
25,0064019
940,6459403
148,506114
70,16362457
158,339222
5582,409415
822,5034139
98,84020575
2230,353189
0
20,92234828
191,3492378
19,69688096
865,8187581
671,4368473
623,4142035
804,2636825
830,7169934
1564,67
1160,316641
1208,884905
431,7997851
57,94544181
184,8348041
34,94489606
313,928387
30,14497361
4,428995124
4787,405734
540,5874632
0
14,5989601
9,400105999
0
2,559248666
14,31502903
0
0
1,288850476
13,8230803
70,35481232
5,360142953
9,539173334
0,08855385
0,166446594
0
0,464796491
0,288878546
2,027397282
1,740336877
0,007735601
0,870310353
0,23124324
0,422750723
0,362732704
929,2914047
67,90946518
9,059209608
27,52082794
1218,393549
187,8280223
18,29278005
600,3498374
3,036550851
59,1138847
125,0223192
21,08953835
1247,879597
172,2160515
242,2771935
390,1617737
